Title of Work,Title of Work (AI check),Author Full Name,Author Full Name (AI Check),"Authorship Type (single, co-author, etc.)",Birth-Death Years of Author(s)/Creator(s),Canonical/Scholarly Translation (Best Overall),Best Public Domain Translation,Complementary/Poetic/Alternative Translation,Top 3 Scholarly Translations (Consolidated),Editor(s)/Compiler(s),Edition Integrity,Peer Review/Canonical Status,Year of Original Publication (canonical),Year of Original Publication (AI check),Language of Origin (AI suggestion),Language of Origin (Linked),Language of This Edition/Publication,Summary Abstract,Cultural Origin (Civilizational root),Tradition / Lineage (Canon-level streams),Geographic Context (Place of composition/use),Historical Era,Publisher/Imprint,Place of Publication,Medium of Expression,Form/Genre,Primary Domain,Primary Subdomain(s),Subdomain Confidence,Other Primary Domains,Other Subdomains,Scale/Level Focus,ITQ Emphasis (where the work speaks from),ITQ Deficit Treated (what the work helps strengthen),ITQ Practice (what it invites the reader to do),SD Digestible For (best audience fit now),SD Bridge Move,SD Contraindication (allergic reaction),Kegan Order Best-Fit,Kegan Likely Move,SDT Needs Targeted,SDT Guidance Style,Author Positionality (Self-description/stance),Diaspora / Transcultural Status,Epistemic Mode(s)/Ways of Knowing,Evidence Base,Rigor/Evidence Strength,Ontological Stance,Cosmology,Ethical Orientation,Political-Economy Lens,Themes/Concepts,Key Words,Core Challenges Addressed,Key Questions,Proposed Orientations,Archetypes/Motfis,Metaphors/Imagery,Predecessors/Sources,Successors/Influenced Works,Dialogues/Contradictions,Opposing Work(s),Sibling/Parallel Works,Related Movements/Schools,Practice Modalities,Application Domains,Coaching & Therapeutic Use Cases,Cautions/Contraindications,More-than-Human Orientation,Intended Audience,Difficulty/Density,Tone/Style,Cultural Accessibility Notes,Length,Illustrations/Diagrams,Models/Frameworks,Media Type,File Type,Primary Links,Availability,Identifiers,Rights/License,Copyright Holder,Copyright Expiration,Jurisdiction,Source Provenance,Source Link (AI),Node ID,Embedding Vector ID(s),Entities Extracted,Coverage Map,Granularity Prepared,Auto-Tag Confidence,Curator(s),Curation Date,Validation Status,Evidence Claims/Audit,Key Quotations,Languages copy,Row #,Editions
Open Veins of Latin America,,Eduardo Galeano,,,,,,,,,,,1971,1971,Spanish,Spanish,,"Open Veins of Latin America (1971) by Eduardo Galeano is a non-fiction work that traces Latin America’s history from the colonial conquest to the 20th century through the lens of resource extraction and foreign control. It documents how silver, sugar, coffee, rubber, and oil were integrated into export economies and links these processes to patterns of dependency and underdevelopment in the region. The book combines historical narrative and political-economic analysis across multiple countries and commodities, tracing continuities from European imperial rule to U.S. and multinational influence.",Postmodern / Global North Critical,"""Postmodern / Critical – Deconstruction, Feminism, Postcolonial, Decolonial, Critical Theory"",""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism""","Americas – South,Americas – Meso/Central,Americas – Caribbean,Global / Transcultural",,,"Mexico City, Mexico.",Book,Essay / Manifesto,,,,,,"""Societal/Civilizational, Planetary/More-than-Human"",Community/Bioregion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,317,
Unterwegs zur Sprache (On the Way to Language),,Martin Heidegger,,,,,,,,,,,1959,1959,German,German,,"Martin Heidegger’s On the Way to Language (1960) gathers lectures and essays that examine the essence of language and its relation to Being, thinking, and poetry. He develops the notions of Saying (Sage) and the event of appropriation (Ereignis), treating language as that which speaks and gathers rather than a mere human tool. The volume includes “A Dialogue on Language” (with a Japanese interlocutor) and “Language in the Poem” on Georg Trakl, alongside reflections such as “The Nature of Language” and “Language.”",Modern Western,"""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism"",""Postmodern / Critical – Deconstruction, Feminism, Postcolonial, Decolonial, Critical Theory"",""Japanese / Korean – Shinto, Zen, Neo-Confucian Korean lineages"",""Greco-Roman / Classical Western – Hellenic philosophy, Roman law, Stoicism, Epicureanism""","Europe – Western,""East Asia – China, Japan, Korea, Mongolia"",Global / Transcultural",,,"Pfullingen, Germany",Book,Anthology / Collection,Philosophy & Ethics,"""Philosophy of Mind, Science, Language"",Metaphysics & Ontology",,"""Culture, Language & Anthropology"",""Literature, Art & Aesthetics""",,"Cosmic/Temporal,""Societal/Civilizational, Planetary/More-than-Human""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,German,318,
The Social System,,Talcott Parsons,,,,,,,,,,,1951,1951,English,English,,"Talcott Parsons’ The Social System (1951) presents a structural-functionalist account of society as an interdependent network of roles organized by shared norms and values that secure order and integration. It develops analytic tools such as pattern variables for role expectations and the four functional imperatives (AGIL: Adaptation, Goal Attainment, Integration, Latency), emphasizing socialization and internalization as mechanisms of stability. Parsons applies the framework to institutions like the family and medicine—introducing the “sick role”—and analyzes deviance and social control as processes that restore equilibrium.",Modern Western,"""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism"",""Scientific / Technological – Modern science, Positivism, Evolutionary theory, Systems theory, Cybernetics""","Americas - North,Europe – Western,Global / Transcultural",,,"Glencoe, USA",Book,Scientific Work ,"Society, Politics, Law & Economics","Political Philosophy & Governance,Law & Rights",,"Systems Thinking & Complexity,""Culture, Language & Anthropology""",,"""Societal/Civilizational, Planetary/More-than-Human"",Interpersonal/Family",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,319,
Medieval Misogyny and the Invention of Western Romantic Love,,R. Howard Bloch,,,,,,,,,,,1991,1991,English,English,,"Bloch argues that Western romantic love did not liberate medieval culture from misogyny but recast its antifeminist logic in the form of idealizing women. Through analyses of patristic and medieval texts, he describes a Christian construction of gender in which the flesh is feminized, the feminine is aestheticized, and aesthetics are theologically condemned. Tracing a throughline of virginity from the Church Fathers to twelfth- and thirteenth-century courtly poets, he demonstrates continuity between early Christian antifeminism and later romantic ideals and explains the social, economic, and legal conditions behind this apparent inversion.",Postmodern / Global North Critical,"""Abrahamic – Judaism, Christianity, Islam"",""Postmodern / Critical – Deconstruction, Feminism, Postcolonial, Decolonial, Critical Theory""","Americas - North,Europe – Western,Europe – Southern",,,"Chicago, USA",Book,Essay / Manifesto,"Literature, Art & Aesthetics","Literature & Poetry,Aesthetics & Philosophy of Art",,"""Culture, Language & Anthropology"",""Family, Love & Relationships""",,"""Societal/Civilizational, Planetary/More-than-Human"",Interpersonal/Family",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,320,
The Tao of Physics,,Fritjof Capra,,,,,,,,,,,1975,1975,English,English,,"Fritjof Capra’s 1975 book explores parallels between modern physics—quantum mechanics, relativity, and particle physics—and Eastern mysticism, including Hinduism, Buddhism, and Taoism. It traces developments in 20th-century physics (e.g., complementarity, uncertainty, and the interconnectedness of phenomena) and juxtaposes them with concepts like yin–yang, emptiness, and the Tao. The work argues for a holistic worldview in which insights from physics and contemplative traditions converge on a shared underlying reality.",Other / Hybrid,"""Scientific / Technological – Modern science, Positivism, Evolutionary theory, Systems theory, Cybernetics"",""Indic – Hinduism, Vedānta, Upanishadic, Vedic, Buddhism, Jainism, Sikhism, Yoga"",""Sinic – Confucianism, Daoism, Chinese Buddhism, Neo-Confucianism""","Americas - North,""South Asia – India, Nepal, Sri Lanka, Pakistan, Bangladesh"",""East Asia – China, Japan, Korea, Mongolia"",""Himalayan – Tibet, Bhutan, Nepal"",Europe – Western,Global / Transcultural",,,"Boulder, USA",Book,Essay / Manifesto,,,,,,"Cosmic/Temporal,""Societal/Civilizational, Planetary/More-than-Human""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,321,
Hatha Yoga Pradipika,,Gorakhnath,,,,,,,,,,,1450,1450,Sanskrit,Sanskrit,,"A practical manual of haṭha yoga, the text is organized into four chapters covering postures (āsanas), breath control (prāṇāyāma) and purifications (ṣaṭkarmas), seals and locks (mudrās and bandhas), and meditative absorption (samādhi). It details techniques to purify the nāḍīs, regulate prāṇa through kumbhakas, and awaken kuṇḍalinī to facilitate rāja yoga. The work also prescribes dietary and behavioral disciplines and emphasizes instruction under a qualified guru.",Indic (South Asia),"""Indic – Hinduism, Vedānta, Upanishadic, Vedic, Buddhism, Jainism, Sikhism, Yoga""","""South Asia – India, Nepal, Sri Lanka, Pakistan, Bangladesh"",""Himalayan – Tibet, Bhutan, Nepal"",Global / Transcultural",,,"Bombay, India",Scripture,Philosophical Treatise ,"Religion, Spirituality & Myth","Mysticism & Esotericism,World Religions & Theologies",,"""Health, Healing & Somatics"",""Consciousness, Mind & Psychology""",,"Intrapersonal/Individual,Interpersonal/Family",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Sanskrit,322,
America in the King Years Redux,,Taylor Branch,,,,,,,,,,,1988,1988,English,English,,"America in the King Years Redux recounts the U.S. civil rights movement centered on Martin Luther King Jr. from 1954 to 1968, tracing pivotal campaigns from Montgomery and Birmingham through Selma to the passage of the Civil Rights and Voting Rights Acts and King’s assassination. It examines nonviolent strategy, internal movement debates, and the interactions among grassroots organizers, segregationist opposition, and local, state, and federal authorities.",Modern Western,"""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism"",""Abrahamic – Judaism, Christianity, Islam""","Americas - North,Global / Transcultural",,,"New York, USA",Book,Biography / Autobiography,"Society, Politics, Law & Economics","Law & Rights,Inequality & Justice",,"""Community Organizing, Civic Action & Democracy"",""Religion, Spirituality & Myth""",,"Team/Organization,Community/Bioregion,""Societal/Civilizational, Planetary/More-than-Human""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,323,
La Guerra contra las Mujeres (“The War Against Women”),,Rita Segato,,,,,,,,,,,2016,2016,Spanish,Spanish,,"Rita Segato’s La guerra contra las mujeres (2016) is a collection of essays that conceptualizes contemporary gender violence—especially in Latin America—as a war waged on women’s bodies and lives. She argues that femicide and sexual violence function as messages among men that produce and display power, rooted in the mandato de masculinidad, coloniality, and the political economies of neoliberalism, organized crime, and militarization, advancing the notion of a pedagogía de la crueldad that normalizes aggression. Through cases such as Ciudad Juárez, Segato traces the entanglement of state and para-state actors across public and private spheres and critiques punitive paradigms while outlining community-centered, de-patriarchalizing transformations.",Postmodern / Global North Critical,"""Postmodern / Critical – Deconstruction, Feminism, Postcolonial, Decolonial, Critical Theory""","Americas – Meso/Central,Americas – South",,,"Madrid, Spain",Book,Essay / Manifesto,"Society, Politics, Law & Economics","Inequality & Justice,Law & Rights",,"""Culture, Language & Anthropology"",Philosophy & Ethics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Spanish,324,
"For Fck’s Sake: Why Swearing is Shocking, Rude, and Fun",,Rebecca Roache,,,,,,,,,,,2023,2023,English,English,,"Rebecca Roache offers a philosophical analysis of swearing, arguing that profanity’s power to offend stems less from the words themselves than from unspoken inferences and the intentional conveyance of disrespect. She examines how context, relationships, and norms determine when swearing is objectionable; differentiates swears from slurs; addresses gendered terms; and analyzes regulation and sanitization practices such as asterisks and quotation. The book also outlines constructive functions of swearing—building social intimacy, aiding pain tolerance, and potentially curbing violence—and discusses the social value of offensiveness.",Modern Western,"""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism"",""Scientific / Technological – Modern science, Positivism, Evolutionary theory, Systems theory, Cybernetics""","Europe – Western,Global / Transcultural",,,"New York, USA",Book,Essay / Manifesto,,,,,,"Interpersonal/Family,""Societal/Civilizational, Planetary/More-than-Human"",Intrapersonal/Individual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,325,
Kakawin Ramayana,,Anonymous,,,,,,,,,,,900,910,Kawi,Kawi,,"The Kakawin Ramayana is an Old Javanese kakawin-meter adaptation of the Sanskrit Ramayana, composed by an anonymous poet in Central Java around the late 9th to early 10th century (c. 910 CE), and traditionally arranged in 26 cantos. It recounts Rama’s exile, Sita’s abduction by Ravana, the alliance with Sugriva and Hanuman’s mission, the siege of Lanka, and their return to Ayodhya. The poem’s first half closely follows the Sanskrit Bhaṭṭikāvya (Rāvaṇavadha), while later cantos diverge with distinct Javanese elaborations.",Indic (South Asia),"""Indic – Hinduism, Vedānta, Upanishadic, Vedic, Buddhism, Jainism, Sikhism, Yoga""","""Southeast Asia – Thailand, Vietnam, Indonesia, Philippines, Cambodia, Burma"",""South Asia – India, Nepal, Sri Lanka, Pakistan, Bangladesh""",,,"The Hague, Netherlands",Poem,Poetry / Epic ,,,,,,"Intrapersonal/Individual,Interpersonal/Family,Team/Organization,""Societal/Civilizational, Planetary/More-than-Human"",Cosmic/Temporal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,326,
Why I Cook,,Tom Colicchio,,,,,,,,,,,0,,English,English,,"Why I Cook is a 2024 memoir-cookbook by chef Tom Colicchio that traces his path from a New Jersey childhood to award-winning New York kitchens and television work. Structured in 10 memoir chapters with 60 recipes, it pairs more than 40 years of personal reflections with the dishes that shaped his life and career. The book includes recipe photography and images from his childhood to contextualize the narratives and recipes.",,,Americas - North,,,"New York, USA",Article,Essay / Manifesto,,,,,,"Intrapersonal/Individual,Team/Organization,Interpersonal/Family",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,327,
Is Consciousness Primary?,,Michel Bitbol,,,,,,,,,,,2008,2008,English,English,,"Bitbol reviews six arguments challenging the claim that consciousness derives from a material basis, drawing on epistemology, phenomenology, neuropsychology, and the philosophy of quantum mechanics. He argues that attempts to prove consciousness is ontologically secondary fail and instead reveal its methodological and existential primacy, without endorsing an alternative metaphysical position. The work advocates a Varela-inspired neurophenomenological stance that redefines the line between assumptions and questions and seeks common ground between phenomenology and objective science to expand intersubjective agreement.",Modern Western,"""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism"",""Scientific / Technological – Modern science, Positivism, Evolutionary theory, Systems theory, Cybernetics""","Europe – Western,Global / Transcultural",,,"Battle Ground, USA",Article,Essay / Manifesto,,,,,,"Intrapersonal/Individual,Interpersonal/Family",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,French,328,
Disparities,,Slavoj Žižek,,,,,,,,,,,2016,2016,English,English,,"Disparities examines the concept of disparity by challenging contemporary “negative” philosophies (such as Malabou’s plasticity, Kristeva’s abjection, and Pippin’s self-consciousness) and proposing an alternative grounded in dialectical materialism. Adopting Badiou’s dictum that a true idea is one that divides, Žižek contends that philosophical engagement proceeds through division rather than dialogue. Organized into three parts—the disparity of truth (subject/object), beauty (ugly/abject), and the good (toward a materialist negative theology)—the book ranges across ontology, posthumanism, aesthetics, and negative theology.",Postmodern / Global North Critical,"""Postmodern / Critical – Deconstruction, Feminism, Postcolonial, Decolonial, Critical Theory"",""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism""","Europe – Southern,Europe – Western,Americas - North,Global / Transcultural",,,Unknown,Other,Philosophical Treatise ,Philosophy & Ethics,"Metaphysics & Ontology,Epistemology & Logic",,"""Society, Politics, Law & Economics"",""Culture, Language & Anthropology""",,"""Societal/Civilizational, Planetary/More-than-Human"",Cosmic/Temporal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,329,
A History of My Times,,Xenophon,,,,,,,,,,,-356,-357,Ancient Greek (to 1453),Ancient Greek (to 1453),,"Book 4 (395–388 BC) centers on the Corinthian War, showing how Persian satrap Pharnabazus used subsidies to unite Athens, Corinth, Argos, and Thebes against Sparta and prompting the recall of King Agesilaus II from his Ionian campaign. It narrates the Persian-Athenian naval victories under Conon—especially the Battle of Cnidus (394 BC)—and Persia’s funding of the rebuilding of Athens’ Long Walls.",Greco-Roman / Classical Western,"""Greco-Roman / Classical Western – Hellenic philosophy, Roman law, Stoicism, Epicureanism""","Europe – Southern,Middle East – Anatolia",,,"Harmondsworth, UK",Book,Other,"Society, Politics, Law & Economics","Political Philosophy & Governance,Global & International Studies",,"Leadership & Management Sciences,""Community Organizing, Civic Action & Democracy""",,"""Societal/Civilizational, Planetary/More-than-Human""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Historical Memoir,330,
Heartland: A Memoir of Working Hard and Being Broke in the Richest Country on Earth ,,Sarah Smarsh,,,,,,,,,,,2018,2018,English,English,,"Heartland: A Memoir of Working Hard and Being Broke in the Richest Country on Earth (2018) is Sarah Smarsh’s account of growing up in a working-poor family in rural Kansas. Tracing multiple generations of women in her family, she documents farm labor, low-wage work, domestic instability, and how class, gender, and policy shaped their lives. Framed as an address to an unborn daughter, the book examines barriers to mobility faced by the rural American working class.",Modern Western,"""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism"",""Postmodern / Critical – Deconstruction, Feminism, Postcolonial, Decolonial, Critical Theory""",Americas - North,,,"New York, USA",Book,Biography / Autobiography,,,,,,"Intrapersonal/Individual,Interpersonal/Family,Community/Bioregion,""Societal/Civilizational, Planetary/More-than-Human""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,331,
How to Be an Artist: A Survival Guide for Making Art,,Jerry Saltz,,,,,,,,,,,2020,2020,English,English,,"Published in 2020, Jerry Saltz’s How to Be an Artist: A Survival Guide for Making Art is a practical manual on developing and sustaining a creative practice. It compiles concise rules, prompts, and exercises covering topics such as building discipline, finding a voice, working through creative blocks, and responding to criticism. The guidance draws on Saltz’s experience as an art critic and on examples from art history and contemporary artists.",Modern Western,"""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism""","Americas - North,Global / Transcultural",,,"New York, USA",Book,Essay / Manifesto,"Literature, Art & Aesthetics","Creative Process & Imagination,Visual Arts & Architecture",,"Personal Development & Well-Being,Education & Learning",,Intrapersonal/Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,332,
De Jure Belli ac Pacis,,Hugo Grotius,,,,,,,,,,,1625,1625,Latin,Latin,,"De Jure Belli ac Pacis (1625) sets out a systematic account of the laws of war and peace grounded in natural law, divine law, and the law of nations. Grotius defines when war may be lawfully undertaken and the rules governing its conduct (jus ad bellum and jus in bello), including treatment of noncombatants, prisoners, property, truces, and peace settlements. He further analyzes sovereignty, jurisdiction, contracts and treaties, punishment, and obligations to establish legal principles governing relations among states and individuals.",Modern Western,"""Greco-Roman / Classical Western – Hellenic philosophy, Roman law, Stoicism, Epicureanism"",""Abrahamic – Judaism, Christianity, Islam"",""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism""","Europe – Western,Global / Transcultural",,,"Paris, France",Book,Philosophical Treatise ,"Society, Politics, Law & Economics","Law & Rights,Global & International Studies",,"Philosophy & Ethics,""Religion, Spirituality & Myth""",,"""Societal/Civilizational, Planetary/More-than-Human"",Interpersonal/Family",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Latin,333,
The Jugurthine War and The Conspiracy of Catiline,,Sallust,,,,,,,,,,,-41,-42,Latin,Latin,,"This volume contains Sallust’s two historical monographs, The Jugurthine War and The Conspiracy of Catiline, covering conflicts in Numidia (112–105 BCE) and a failed coup in Rome (63 BCE). The Jugurthine War recounts Jugurtha’s contest for the Numidian throne, his bribery of Roman officials, the campaigns of Metellus and Marius, and Jugurtha’s capture via King Bocchus’s betrayal arranged by Sulla. The Conspiracy of Catiline narrates Catiline’s plot to seize power, its exposure by Consul Cicero, the Senate’s suppression and executions in Rome, and Catiline’s defeat and death at Pistoria, alongside Sallust’s reflections on Roman politics and moral decline.",Greco-Roman / Classical Western,"""Greco-Roman / Classical Western – Hellenic philosophy, Roman law, Stoicism, Epicureanism""","Europe – Southern,Africa – North",,,,Book,Anthology / Collection,,,,,,"""Societal/Civilizational, Planetary/More-than-Human"",Team/Organization",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,334,
Matière et mémoire: essai sur la relation du corps à l'esprit (Matter and Memory),,Henri Bergson,,,,,,,,,,,1896,1896,French,French,,"Matter and Memory (1896) examines the mind–body relationship through a theory of perception and memory. Bergson argues that perception is a selection for action, with the body as a center among images, and that the brain is an instrument for directing movement rather than a storehouse of representations. He distinguishes habit memory (embodied motor dispositions) from pure memory (the virtual conservation of the past), explaining how recollection actualizes into perception to guide behavior. Drawing on neurological cases, he argues that cerebral lesions impair motor mechanisms without abolishing pure memory, supporting the relative independence of mind from brain.",Modern Western,"""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism"",""Scientific / Technological – Modern science, Positivism, Evolutionary theory, Systems theory, Cybernetics""","Europe – Western,Americas - North,""East Asia – China, Japan, Korea, Mongolia"",Global / Transcultural",,,"Paris, France",Book,Philosophical Treatise ,Philosophy & Ethics,"""Philosophy of Mind, Science, Language"",Metaphysics & Ontology",,"""Consciousness, Mind & Psychology"",""Time, Death & Transcendence""",,"Intrapersonal/Individual,Cosmic/Temporal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,French,335,
Farming While Black: Soul Fire Farm’s Practical Guide to Liberation on the Land,,Leah Penniman,,,,,,,,,,,2018,2018,English,English,,"Farming While Black is a practical handbook by Leah Penniman that documents Soul Fire Farm’s methods to support Black and other marginalized growers in achieving land- and food-sovereignty. It offers step-by-step guidance on regenerative agriculture—farm planning, soil building, crop cultivation, seed saving, animal care, and farm business/marketing—along with resources for land access, cooperative models, and community education. The book situates these practices within the history and contributions of African-heritage agrarian traditions and includes curricula, worksheets, and case examples to support growers and organizers.",African Diasporic,"""African Diasporic – Vodun, Santería, Candomblé, Rastafari"",""Postmodern / Critical – Deconstruction, Feminism, Postcolonial, Decolonial, Critical Theory"",""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism""","Americas - North,Global / Transcultural",,,"White River Junction, USA",Book,Other,Ecology & Deep Ecology,"Regeneration & Restoration,Rights of Nature & Environmental Justice",,"""Community Organizing, Civic Action & Democracy"",""Society, Politics, Law & Economics""",,"Intrapersonal/Individual,Team/Organization,Community/Bioregion,""Societal/Civilizational, Planetary/More-than-Human""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,336,
The Summer Book,,Tove Jansson,,,,,,,,,,,1972,1972,Swedish,Swedish,,"The Summer Book (1972) by Tove Jansson depicts a summer shared by six-year-old Sophia and her elderly grandmother on a small island in the Gulf of Finland. Structured as a series of vignettes, it follows their daily explorations and conversations about the island’s natural environment and the events of the season. The narrative also addresses Sophia’s mother’s recent death, with her father present mainly in the background.",Modern Western,"""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism""","Europe – Northern,Global / Transcultural",,,"Helsinki, Finland",Book,Novel / Fiction,"Literature, Art & Aesthetics",Literature & Poetry,,"""Family, Love & Relationships"",Ecology & Deep Ecology",,"Interpersonal/Family,Intrapersonal/Individual,Community/Bioregion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Swedish,337,
The Duties of Man,,Giuseppe Mazzini,,,,,,,,,,,1860,1860,Italian,Italian,,"Giuseppe Mazzini’s The Duties of Man (1860) outlines a civic and moral doctrine addressed primarily to workers, defining individuals’ duties to God, family, country, and humanity. It argues that rights arise from the fulfillment of duties and advocates Italian national unity, republican government, universal education, and the dignity of labor as collective obligations. The work emphasizes association and popular participation as means to build a just, unified nation.",Modern Western,"""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism"",""Greco-Roman / Classical Western – Hellenic philosophy, Roman law, Stoicism, Epicureanism""","Europe – Southern,Europe – Western",,,,Book,Essay / Manifesto,,,,,,"Intrapersonal/Individual,Interpersonal/Family,""Societal/Civilizational, Planetary/More-than-Human"",Cosmic/Temporal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Italian,338,
"Beat Zen, Square Zen, and Zen",,Alan Watts,,,,,,,,,,,1958,1959,English,English,,"Alan Watts contrasts “Beat Zen”—bohemian spontaneity—and “Square Zen”—institutional orthodoxy—with Zen as a practice of direct insight that transcends both. He argues these approaches frame Zen either as license or as moralism and clarifies the roles of discipline, spontaneity, meditation, and satori. The essay examines ego, non-attachment, and cultural misunderstandings in Zen’s transmission to the West.",Japanese / Korean ,"""Japanese / Korean – Shinto, Zen, Neo-Confucian Korean lineages""","""East Asia – China, Japan, Korea, Mongolia"",Americas - North,Europe – Western,Global / Transcultural",,,"San Francisco, USA",Article,Essay / Manifesto,"Religion, Spirituality & Myth","Transpersonal & Altered States,Developmental & Social Psychology",0.36,"Philosophy & Ethics,""Culture, Language & Anthropology""",,"Intrapersonal/Individual,""Societal/Civilizational, Planetary/More-than-Human""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,339,
The Hazy Moon of Enlightenment,,Taizan Maezumi & Bernie Glassman,,,,,,,,,,,1977,,English,English,,,,,,,,"Los Angeles, USA",Book,Anthology / Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,340,
